1.3000e+01,7.9000e+01,1.5000e+01,1.6000e+01,2.5000e+01,3.9000e+01,1.3100e+02,9.0000e+01,1.4000e+02,1.7400e+02,1.4500e+02,2.0000e+00,1.1800e+02,1.2000e+01,1.9200e+02,2.6000e+01,2.4900e+02,1.9300e+02,4.0000e+01,1.5600e+02,1.7000e+02,2.3200e+02,2.4400e+02,2.0300e+02,7.1000e+01,1.7000e+02,4.8000e+01,6.1000e+01,9.0000e+00,1.0000e+00,1.5300e+02,2.5500e+02,7.5378e-02
2.8000e+01,7.5000e+01,1.9900e+02,8.5000e+01,1.8700e+02,9.1000e+01,2.0500e+02,7.2000e+01,2.2000e+01,2.4600e+02,1.9200e+02,1.6500e+02,1.9000e+01,2.2200e+02,1.7000e+01,4.0000e+00,6.1000e+01,2.4100e+02,3.3000e+01,1.3900e+02,1.5400e+02,1.9100e+02,1.1800e+02,2.4600e+02,1.3900e+02,1.7400e+02,1.4900e+02,7.9000e+01,2.2700e+02,2.4500e+02,6.2000e+01,8.0000e+00,7.8087e-02
7.6000e+01,2.0000e+02,1.9400e+02,7.5000e+01,1.7500e+02,1.9000e+01,2.0600e+02,1.8000e+02,4.6000e+01,2.5400e+02,7.2000e+01,1.2000e+02,1.2500e+02,1.1100e+02,8.7000e+01,1.2000e+01,5.7000e+01,1.3000e+02,2.4300e+02,0.0000e+00,7.3000e+01,1.7600e+02,1.1200e+02,2.4000e+01,1.7100e+02,4.0000e+01,8.1000e+01,2.3000e+01,2.4000e+02,2.1000e+02,1.0100e+02,6.7000e+01,7.4125e-02
1.7000e+01,4.2000e+01,2.2300e+02,1.5000e+02,2.0000e+02,1.7900e+02,5.6000e+01,2.4000e+01,1.2000e+02,2.1200e+02,8.3000e+01,1.1100e+02,2.0300e+02,2.2200e+02,0.0000e+00,1.8100e+02,1.7200e+02,2.1300e+02,1.6800e+02,1.3200e+02,2.4400e+02,5.0000e+00,3.1000e+01,1.1500e+02,5.1000e+01,2.5500e+02,1.0300e+02,2.3600e+02,1.1000e+02,1.8000e+02,1.5000e+02,1.0600e+02,7.7615e-02
2.4000e+01,3.7000e+01,1.3400e+02,2.2000e+01,2.2000e+02,7.0000e+00,2.0000e+02,8.0000e+01,9.2000e+01,2.2300e+02,2.0000e+00,1.0900e+02,2.5500e+02,1.8300e+02,1.4700e+02,3.0000e+01,1.0800e+02,1.3200e+02,1.2700e+02,5.8000e+01,2.4600e+02,1.2100e+02,2.2800e+02,1.1300e+02,1.9100e+02,2.2000e+02,6.5000e+01,1.7000e+01,2.4600e+02,1.9200e+02,7.1000e+01,2.1900e+02,7.5810e-02
2.2000e+02,5.3000e+01,2.3000e+02,1.3100e+02,3.4000e+01,2.7000e+01,9.0000e+00,2.0000e+00,1.9100e+02,1.3500e+02,2.1200e+02,2.0900e+02,2.1800e+02,1.7000e+01,1.1600e+02,4.4000e+01,3.6000e+01,2.5200e+02,2.3500e+02,2.0300e+02,8.0000e+01,6.2000e+01,1.7600e+02,3.3000e+01,5.9000e+01,1.7000e+02,2.0600e+02,1.5700e+02,1.6600e+02,7.7000e+01,1.3200e+02,2.2200e+02,7.6696e-02
2.1500e+02,5.6000e+01,1.9900e+02,2.5100e+02,2.5400e+02,1.3000e+01,6.1000e+01,1.4000e+02,2.5100e+02,1.6400e+02,1.5100e+02,2.2800e+02,1.7500e+02,6.4000e+01,1.9600e+02,1.9600e+02,1.2200e+02,1.2800e+02,1.1600e+02,1.6800e+02,2.2800e+02,2.9000e+01,1.2300e+02,2.4400e+02,5.5000e+01,2.1700e+02,1.9400e+02,1.4400e+02,9.4000e+01,1.7700e+02,2.4800e+02,4.4000e+01,7.4125e-02
1.4600e+02,5.2000e+01,2.3800e+02,1.2700e+02,2.3500e+02,1.8200e+02,2.2400e+02,1.7800e+02,1.3000e+02,1.7200e+02,1.4700e+02,6.3000e+01,2.5200e+02,1.3200e+02,1.8000e+02,2.1000e+01,1.0100e+02,1.7300e+02,5.8000e+01,1.0500e+02,1.2800e+02,3.5000e+01,1.2100e+02,2.4000e+01,8.3000e+01,1.1600e+02,2.0100e+02,2.3800e+02,1.4200e+02,2.0700e+02,2.0400e+02,7.8000e+01,7.7152e-02
2.3400e+02,5.4000e+01,1.4300e+02,2.5000e+02,2.3500e+02,3.3000e+01,1.2500e+02,2.3400e+02,1.6300e+02,7.7000e+01,1.3100e+02,1.8500e+02,1.8900e+02,1.9700e+02,6.4000e+01,2.2400e+02,1.0600e+02,1.9800e+02,2.4900e+02,1.1400e+02,2.3200e+02,1.6200e+02,6.3000e+01,1.7600e+02,1.1500e+02,5.7000e+01,2.0500e+02,3.6000e+01,2.4800e+02,2.2700e+02,1.6800e+02,1.2400e+02,7.6696e-02
2.0000e+02,5.1000e+01,1.9900e+02,9.7000e+01,1.2600e+02,1.5000e+01,3.6000e+01,4.0000e+00,8.0000e+01,1.0400e+02,3.8000e+01,9.7000e+01,1.0300e+02,2.0200e+02,1.0600e+02,2.0000e+02,2.4900e+02,1.0500e+02,2.4200e+02,2.0200e+02,1.4200e+02,1.8700e+02,2.3300e+02,1.0600e+02,1.7900e+02,0.0000e+00,1.9500e+02,2.5100e+02,2.3800e+02,6.0000e+01,2.4800e+02,1.2300e+02,7.6249e-02
